CURP,nombre,paterno,materno,f_nac,calle,num,ciudad,CP
KEHJ617505HNEYTM74,Garrek,Theyer,Dederich,1989-06-07,Transport,936,Landivisiau,37910
MIIS468069HNEAIF25,Fianna,Branson,Dood,1986-04-03,Mcguire,1,Miastko,56919
JUKN835396MVZFSU98,Eilis,Pettus,Waterworth,1979-03-19,Lillian,1,Saint Paul,49101
TUAX548976HYNQEB97,Tabitha,Hawick,Goldine,1960-11-17,Maple,9374,Aviuges,37813
WODT118293HZSJYB04,Fionnula,Heaysman,Kuhwald,1973-07-19,Cody,3,Anadia,51020
ZUDX512307HNELYI71,Berkie,McLay,Bene,1966-08-08,Eggendart,433,Nanganga,66290
JUJK017989MZSESO96,Rebbecca,Readshall,Errett,1966-03-21,Carioca,8009,Melenki,44895
AUMP579705HZSTZH10,Brandice,Daniels,Olenichev,1977-12-25,East,22,Artsvaberd,35202
ZUHK504860MYNUSX55,Rosanne,Pebworth,Kamall,1967-12-14,Heffernan,720,Ekero,68698
GUCI545430HNEMGB01,Lynde,Wolledge,Parzis,1976-12-29,Forster,73,Pindamonhangaba,99851
PUJM189658MNEBCQ13,Trefor,Archell,Skoggins,1975-01-21,School,4696,Cortez,43042
RUAV563647MNEVMC08,Riannon,Peet,Agney,1962-06-26,Heath,89,Abakan,25010
OIQK922565HNECAO19,Taylor,Jiru,Chiles,1964-02-10,Gale,8694,Watergrasshill,29342
ZUGI811977MYNPSB35,Maryellen,Duggary,Morton,1981-10-06,Fairview,5079,Huanchaco,56225
KUPS124980MYNUME65,Tabitha,McSwan,Preator,1961-02-21,8th,2811,Pai do Vento,76148
MUWD146214HNEQTM35,Teena,Hardington,Alderwick,1978-12-18,Lake View,38,Xijiang,17285
NUJQ056496HNEVQI49,Terza,Vella,Phidgin,1994-09-25,Burrows,916,Liujiagou,44818
XOAP073451MNEEVA42,Hershel,Stephen,Baff,1963-04-23,Sunbrook,9800,Kitakata,37076
MIKQ861253MZSHQM28,Toddy,Huffey,Tilbrook,1967-04-20,Hallows,2,Calcada,28138
WUAE058209HZSDUN20,Maria,Sattin,Salack,1989-11-30,Cottonwood,9,Sceaux,93217
OEYM547454HZSMUD94,Cozmo,Michelmore,Mibourne,1988-07-22,Chinook,298,Cisiih,42561
KUEQ567084MZSBEZ16,Sholom,Paunton,Brennans,1983-03-24,Birchwood,7151,Pirane,22601
JUVR468368MNEDNC92,Ermanno,Wilton,Jordeson,1960-08-28,Manitowish,1436,Karjalohja,76977
OUBY901683HNEMWI47,Dorthea,Ewebank,Tombs,1962-06-30,Raven,6979,Orleans,67671
SUGB948302MYNWZJ42,Shayla,De Anesy,Peinton,1969-05-03,Ludington,1031,Idrija,57876
JUNW360053MNEQGK64,Anatollo,Steele,Cragell,1971-02-20,Sutherland,918,Chlumec,82246
UUHM355019MNELIP46,Lena,Lindenberg,Martell,1976-05-15,Sage,49,Kan,73201
YUKM930949HYNNIR28,Mignonne,Burnyeat,Dubbin,1981-03-10,Utah,1,Garupa,41237
PUJF172190HVZXGY33,Eleanore,Baskwell,Lies,1966-11-22,Eastlawn,152,Chociwel,16277
WUTR347841HZSABQ01,Peyton,Snoddin,Sherman,1971-08-07,Welch,22,Dongshangen,85726
TUIU594356HTLUYT29,Maurizio,McQuorkel,Konzelmann,1987-01-31,Lyons,940,Al Aqir,11997
XURY165640MYNDLF18,Berte,Bottrell,Broadberry,1987-12-21,Old Shore,2581,Renfengzhuang,62969
CIDR221018MVZERV78,Smitty,Eley,Trank,1962-03-05,Sheridan,31,Billings,15785
VIZW773380MZSWVY35,Tootsie,Stigers,Divill,1992-01-28,Coolidge,2,Hejiang,83337
ZAAW985118HNEMFE99,Tommi,Fandrey,Piatti,1975-02-28,Toban,8560,Karanggedang,20756
VOZR505862MNEXYL69,Maddi,Crinkley,Cufflin,1981-02-25,Main,3608,Lobanovo,27422
UUCP741769HVZQMB08,Kristel,Stickford,Rylands,1981-12-12,Blackbird,8,Potelych,44386
AOVA277125MNELSF71,Gasper,Calbert,Francino,1985-02-24,Cascade,3057,Chikeng,44398
XIUW842198HZSLVW27,Shari,Walentynowicz,Amaya,1982-08-26,Merrick,5050,Port Hawkesbury,23195
QIUY404324MNENBT63,Dun,Gorvette,Sarch,1987-09-09,Merchant,1,Mercaderes,37999
JUAZ526048MNEMDT76,Kenyon,Wenman,Kitchingman,1967-07-10,Northport,968,Kolchikon,71020
NOZU436254MNEBLH46,Eydie,Gorbell,Hendonson,1979-11-19,Heffernan,328,Jaguaruana,12750
KUFY957301HNEAWC71,Tedra,Dolder,Paudin,1992-02-23,Oriole,7598,Lillehammer,39120
YAAM670952HNETJO86,Jacquie,McCarroll,Soden,1978-03-22,Ludington,23,Ilangay,27738
EOWK580694HTLQFW10,Sylvia,Wem,Salvidge,1965-08-19,Oakridge,479,Ulme,20679
LIPU077456HZSHGX56,Kathrine,Pouck,Keese,1980-09-23,Dwight,92,Quinipot,29277
YIWU904885HZSUHP35,Gregorius,Mains,Berns,1976-08-31,Messerschmidt,3966,Roshchino,80875
FALV121476MNESHC27,Deerdre,Bassilashvili,Platts,1985-03-09,Prairieview,38,Lianhe,29186
FIFU656454MYNNRZ15,Michaella,Stive,Askey,1970-10-26,Commercial,191,Shuiyang,59167
WUUB523443MNENGB29,Magdalen,MacIntosh,Bezants,1984-04-28,Springview,24,Kangxung,69220
IIXP069473HNEEJL15,Ashlin,Dowda,Fishly,1973-10-08,Coleman,97,Wantou,78851
JUIX759746HNEKSI83,Gennifer,Boyall,Beglin,1977-11-16,Stang,14,Staryy Togul,37492
PEAQ854102MNEWIL30,Joceline,Rodnight,Novkovic,1974-11-11,Park Meadow,9476,Ludishan,16118
IUPZ110676MSRHCV73,Analise,Olerenshaw,Carlin,1993-07-04,Killdeer,7617,Buffalo,47307
YUEI352830HZSNMG78,Efrem,Dargie,Zielinski,1976-02-29,Golf View,5683,Yinying,60509
QEKV580014HZSIUZ84,Kylie,Gell,Galtone,1976-12-07,Pond,8,Weishui,67166
BOLB398562HYNEZM62,Dasya,Rochewell,Whinray,1974-03-24,Nancy,60,Verkhnyaya Tura,69108
MUIL926292MZSKRZ87,Rufus,Pinnocke,Caldeyroux,1964-08-13,Oneill,21,Lyuban,26969
ZIYK790835MNEDHI93,Giorgi,Henrichsen,Hilling,1965-01-08,Lindbergh,82,Maggotty,39837
IOPN927095MYNSMO51,Easter,Greaves,Lorman,1991-09-13,Westerfield,90,Miaoertan,28107
LOGR383909HTSUFR37,Orella,Kamien,Pycock,1985-08-29,Fisk,7795,Wahawaha,62001
VOLJ020263MZSOIH29,Jojo,Luckes,Angrock,1976-02-18,Sommers,68,Rongelap,45589
IUWN533336HNECTX27,Anabal,Ramet,Gaddes,1980-08-04,Elgar,10,Zhanjiang,36150
TIJL701777HVZICS03,Meghan,Truse,Willowby,1962-02-06,Boyd,6293,Mos,78824
OODT838335MNEOMH25,Christine,Sollime,Blose,1965-11-13,Ludington,5,Oetutulul,75413
JORE196435MZSJQV14,Kathie,Scotson,Parsall,1986-08-24,Mosinee,625,Bangkle,77430
TUTH634489HYNZQI86,Jesselyn,Paolinelli,Flooks,1960-11-14,Moland,810,Strabychovo,54089
ZUUK562435MNEYBC43,Venita,Drohane,Siddaley,1991-11-23,Dennis,422,Funes,61911
SOEC847079HZSSKI18,Leoine,Rassell,Bramble,1968-04-27,Steensland,180,Buraen,14307
YIUD726597HYNFZC21,Micky,Meatcher,Kroin,1964-06-20,Warner,9,Bov,24944
EUJG466973MVZXIE15,Kathryn,Hubbart,Nutty,1980-12-23,Lillian,2977,Abelheira,51115
YIJU192591HYNXBV76,Tess,Balch,Keat,1964-01-12,Monica,8,Thakurgaon,66445
EAWP314096HVZECK67,Jeffry,Stonehewer,Commuzzo,1985-01-30,Crescent Oaks,907,Diamantino,94054
XATL726398HZSWBT77,Tucky,Spire,Bruty,1987-10-28,Sloan,79,Zhangjiapan,77818
KUKU121813MNEDZU71,Sonnie,Izakovitz,Lamers,1983-08-23,Hooker,7425,Vorontsovka,60744
NOYW112962MTCNHF42,Laurette,Kayley,Lanfer,1983-07-22,Hooker,9403,Karangbenda,38125
GUQO289643MNEUXY97,Maynord,Liveing,Nolin,1993-12-26,Reindahl,4237,Nanyang,46947
GUPF771495HNEWSU81,Harli,Ottosen,Gilliatt,1979-10-03,Derek,9,Bazi,17096
GOCI947960MNEHVD79,Anneliese,Traske,Gates,1978-09-05,Center,1669,Opuwo,66609
RUJL041639MYNWDQ23,Lydie,Daine,Nemchinov,1977-11-04,Esch,93,Daduchuan,78118
WUFU667443MZSJFS03,Damon,Tillot,McCafferky,1975-12-17,Londonderry,4,Cha Grande,84531
MUHD825208HNEVLB32,Leland,Tocknell,Reisin,1980-02-11,Birchwood,333,Dabola,26844
COQT052224HZSYUM97,Marcy,Meek,Towsie,1963-05-31,Mayfield,11,Ayapel,80881
QUJB312641MNEZFB84,Hadria,Bartolomeazzi,Izchaki,1979-04-28,Aberg,275,Langtad,73430
KOPG644873HNEEAR65,Sherill,Kyttor,Sissens,1963-07-17,La Follette,717,Clifden,15060
IUVS025189HNEEBD01,Cody,Soldner,Choules,1992-03-21,Dawn,5,Qianwei,22990
AUKI760794HVZEKX52,Tristam,Calladine,Echelle,1990-05-09,Fulton,3195,El Mida,11733
KUOB623169MNELKJ46,Fernande,Towll,Thurstance,1993-08-25,Pearson,5745,Karabash,29031
ZIKT389517HNEAFC13,Ambros,Foulkes,De Lisle,1970-10-08,Monument,8951,Cau Giat,41198
JUYD511390MNEAPR51,Toby,Caton,Flintoffe,1991-05-01,Sachtjen,83,Ciwaru,63808
NUPK661389MZSWZG41,Syd,Gallico,Laundon,1969-07-27,Bluestem,9,Minchinabad,78940
HAPT924797MNEBJG93,Noelani,Riatt,MacColm,1973-01-02,Rigney,6939,Krajan Demit,10270
NOQE419879HNEZBL21,Chicky,McQuaid,Bowes,1988-03-04,Mendota,519,Tucson,43070
GUAD954387HTLIMU26,Kris,Janway,Dober,1972-08-05,Dakota,199,Vigia,48030
DUQU364652HNEEFI36,Woodie,Sirmond,Castellone,1963-08-20,Luster,4,Bobigny,10817
JIRZ748254MNEEAU05,Carmel,Caps,Summerton,1989-04-05,Chinook,3,Askainen,38492
GUCB983702MZSFTG91,Sally,Collishaw,Gettens,1989-03-16,Badeau,73,Qiqian,62404
RUJE993719HNEXDL76,Clerc,Ambrosoli,McAteer,1987-02-22,Anderson,23,Blois,38277
BUJH532348HTLGNP78,Audi,Huetson,Blackshaw,1993-01-10,Pierstorff,38,Igarape Acu,66464
POUJ631378HNEOYF15,Emmit,Caldero,Byford,1994-08-26,Sherman,70,Gangkoujie,52984
VIFJ553397MZSMYD91,Shem,Marieton,Asp,1984-04-10,Caliangt,22,Guyang,87981
XUXE834961HYNWRK15,Minta,Fitzpatrick,Ghioni,1983-01-23,Rieder,4743,Surami,29275
LAFG962239MNEINK75,Blondell,Dainter,Chomicz,1974-10-17,Esker,80,Hartford,59392
CUSH223972MYNROC94,Ephrem,Esplin,McKeefry,1960-08-16,Lyons,1,Shanghu,82848
TUBM929126MNEXQJ29,Faina,Boullen,Spottswood,1971-05-05,Gulseth,86,Aruja,48618
RAJS947728HNEAIL15,Staford,MacQuist,Vedenyapin,1994-09-01,Lake View,2312,Ciudad Bolivar,18409
TOLW768085HYNJSE00,Corrie,Duffield,Yeudall,1979-11-09,Grasskamp,58,Colorado Springs,80392
XUJI466068HVZFHM53,Calida,Andreas,Kemmet,1983-09-17,Waubesa,4,Pivka,39673
IUUR743217HNEDYL92,Rogerio,Gallager,von Nassau,1986-07-14,Hazelcrest,89,Kamieniec Zabkowicki,79549
VAOF147833MNESQO54,Vickie,Aburrow,Rewcastle,1986-09-26,Forest,7177,Cinyumput,24338
EUGA423129HNENOQ08,Barnett,Twinborough,Heddy,1976-05-24,Harbort,62,Bang Pahan,22394
NEUC704928MVZRGM61,Jocelyne,Kneal,Boleyn,1982-08-01,Grayhawk,8,Xinjian,80979
XUUO504996MNEVZU57,Myriam,Lamburn,Dilland,1960-09-25,Texas,68,Kwaluseni,35177
KUQJ965006MNEHRK17,Dalt,Greetham,Golborn,1964-11-13,High Crossing,7177,Komprachcice,30178
KAOR285582MNETLM35,Standford,Anwell,Defraine,1974-08-06,Independence,6,Duoxiang,83122
VIAI409840MNEHZX90,Mohandis,Blazey,Gilloran,1984-08-17,Lien,3066,Tocopilla,25735
QUDR389673HZSFKD67,Nan,Simione,Finnemore,1965-11-12,8th,2180,Libmanan,95633
GUMC005237HZSBRX94,Susanna,Dutnell,Toone,1982-10-27,Hansons,85,Nato,12386
EUPO108752HZSXKL91,Ichabod,Eliet,Nabbs,1987-01-24,Ruskin,4,Krajan,13015
VIWV661449HTLJPM44,Anne,Hirth,Wilber,1965-09-25,Saint Paul,119,Citeureup,48680
HUOH796875HNEXWN74,Stacee,Jacobssen,Farney,1987-12-03,Buell,7527,San Pedro,36783
AUAB008887MNEBJD01,Emalee,Cannon,Vedeshkin,1991-04-02,Larry,3,Hengbanqiao,99603
WICP628816MVZHZG36,Megan,Coldman,Sheirlaw,1981-10-09,Jenna,4,Kyra,12152
RUKN223385HNELXP36,Gearalt,Varran,Cardon,1991-01-09,Sommers,5556,Rychnov nad Kneznou,72878
LIEI613132HZSWSL91,Evita,Sorrie,Marusyak,1966-11-05,Scoville,148,Klatovy,36589
BIFJ136365HVZWRA47,Lauralee,Rozec,Braidon,1975-10-12,Rusk,263,Gaojingzhuang,98977
GEHW239730HZSRQW47,Myca,Orta,Arnley,1992-10-20,Granby,455,Starigrad,60101
BAMF837454MYNNCX89,Marcia,Gregoretti,Takis,1973-12-16,Springview,3,Bichena,97553
AIVC074056HNEZGD83,Amberly,Von Der Empten,Awty,1976-01-11,Fisk,4304,Certegui,20594
OOIH010742MVZFAB54,Nikkie,Bacup,Hassan,1961-04-18,Center,480,Aygek,20078
CUHA320494MNELBD55,Hilliary,Yude,Hudel,1970-03-11,4th,338,Wroblew,26137
ZUBW208890MNEQSK46,Mariel,Fettiplace,Traite,1968-01-06,Iowa,2546,Kamphaeng Phet,92278
KEAV244975MVZNKP51,Nikoletta,Ruddlesden,Yeld,1964-12-01,Larry,3,Heris,11635
WIMW478912HNEAEH46,Arleen,Gwioneth,Derges,1965-11-29,Fuller,8,Carepa,34451
EACA366787MZSYSO06,Gael,Ewan,Rennie,1964-09-19,Dexter,59,Sobral da Abelheira,15910
OOJP743398MNEHRF20,Rena,Branigan,Nolton,1986-03-24,Brentwood,925,Polo,17139
YOCT873514MZSPGI54,Shay,Twelves,Cutmore,1981-07-12,Packers,99,Guangshun,68573
GIJW539731MNEHKB57,Marcelle,Maus,Base,1971-04-22,Hollow Ridge,420,Victoria,76442
GUNV600734MNEVQL89,Helge,Coneron,Balcers,1980-05-14,Ludington,19,Portao,99554
RUCE488332MNERDQ53,Kelci,Lentsch,Cuningham,1965-06-16,Becker,6913,Tokyo,71733
EUDG233891MYNXZV20,Warden,Ashdown,Tzarkov,1982-04-05,Eliot,48,Shixian,55864
MIOB604635MNELMP89,Adlai,Igonet,Gaven,1979-12-31,Cody,4008,Liushan,34093
IIRM940441HNETFE41,April,O Gaven,Mapowder,1978-08-04,Ridge Oak,2071,Riachao das Neves,94462
EUDU187775HTSHBE60,Nicole,Le Houx,Geertje,1986-04-27,Stoughton,40,Ketampak,29129
MUPT943961MZSXTU09,Ransom,Bushaway,Daid,1971-11-12,Summer Ridge,8421,Kfar NaOranim,14426
JUUT249270HVZKFX61,Halli,Fright,Wheelwright,1986-11-07,Scoville,7145,Cirumput,82967
RUQA879249HNEWGK66,Prue,Hayley,Shields,1979-03-27,Upham,6,Salaberry de Valleyfield,57350
JOEH122580MNEPBA13,Trixi,Stannis,MacLise,1982-09-26,Eggendart,72,Jaba,99059
FUXT804499MNEMBR92,Padraic,Fessler,Mival,1966-12-02,Doe Crossing,8,Daxing,32457
DUZV186437MNEGLM55,Chance,Cadd,Polini,1968-11-19,Scoville,8,Shangzhang,51741
QONV586423MTLJXB76,Anastasie,Pidgeon,Lambirth,1961-02-19,Maryland,4589,Santa Rosa,38845
IINY046087HYNRBP57,Vinson,McGebenay,Ritter,1982-03-06,Schlimgen,5662,Kuala Lumpur,66463
CEXZ545762HNEWXT96,Sheila,Winkett,Gherardelli,1985-03-25,Ludington,26,Sencur,40416
YEFO597586HNEQRH14,Marlo,Commander,Pavel,1960-12-01,Del Sol,2613,General Martin Miguel de Guemes,19299
AOBR034506HVZDZS40,Odille,Motton,Huntingdon,1986-11-16,Harbort,2,Lons le Saunier,35086
WUEW662796HZSBFE70,Moyna,Veryan,Stryde,1976-12-27,Hoepker,2,Ravansar,15070
GUTX360756MZSVQL65,Didi,Golding,Kiss,1964-01-06,Arrowood,8664,Campos Gerais,98053
CUZH600300HVZLQV10,Denis,Kunzel,Stutt,1986-08-11,Express,9886,Mainz,49322
JUZF997854MNEBAM93,Orelee,Pocock,Ketts,1992-09-26,Grover,9660,Yudaikelike,12913
XOUG569694MNEHBT70,Christy,Kobke,Durek,1967-07-30,Loftsgordon,80,Lyon,92590
DOQF510401MNECDK69,Selie,De Leek,Crucitti,1973-08-05,Westerfield,4311,Kamennyye Potoki,72256
ZUIJ912140MNEIZM80,Davidde,Paulsson,Symmers,1978-01-31,Commercial,527,Maubara,54530
VIIH789853HNEYLH54,Crissy,Aston,Emanuel,1962-10-25,Butternut,5721,Bagong Sikat,11823
EIQL352656MNEYDR62,Willette,Robben,Radleigh,1966-04-25,Northview,2391,Caen,83033
ZOUT938154HZSMQC90,Emyle,Shapera,Essberger,1979-07-05,Springs,4821,Torbeyevo,12239
FOMY135627MNEHXZ35,Kaleb,Noot,Simonato,1989-02-24,Oakridge,4585,Petrodvorets,56108
VUMS626279MZSNZS43,Findlay,Moakes,Merrington,1968-01-05,Brentwood,1306,Pugeran,97456
FOGY890028HZSBRO24,Johnnie,Reddlesden,Carnier,1993-09-24,Norway Maple,6394,Santa Rosa,95314
EUNP094906HNEOQK29,Bear,Leving,Raoux,1972-10-04,Toban,6370,Rueil Malmaison,34232
OOFN782984HYNIEV91,Tremain,Dyball,Quenell,1960-03-28,Caliangt,201,Tehetu,52878
SUCU418549HZSBFS35,Jocelyne,Jessep,Gear,1989-09-26,Ronald Regan,6513,Kil,96554
NOZU243334HNEXHS54,Bartolemo,Gobert,Beddie,1962-09-07,Coleman,69,Nyuksenitsa,19089
JUSN681500HNEFQD35,Coriss,Gowers,Latty,1988-11-24,Caliangt,670,Yanhe,74528
GAQX014821MNETBG68,Thomasina,Buche,Fairleigh,1992-06-11,Bonner,8681,Basicao Coastal,91722
MOQH720419MNEPVA78,Datha,Reaman,Gostridge,1979-04-12,Gulseth,7129,Jimenez,80925
GOQE732299HNEBUH94,Irving,Skarin,Gaudon,1980-04-07,Eastlawn,2277,Kadubetara,46391
TAOC932499MYNISL70,Bernadina,Czajkowska,Fee,1986-10-10,Prentice,56,Binan,16642
RUIN154458MZSBCX74,Misty,Mozzi,Ohrt,1974-07-24,Service,19,Chartres,31874
MULX479776MZSYUR80,Devin,Mallatratt,Dowbekin,1962-05-01,Briar Crest,7686,Chon Thanh,15847
XUPO441744HNEWDB35,Florida,Hanham,Zoanetti,1968-03-03,Pennsylvania,5,Linxi,17001
EUYN961882HVZSVP76,Colline,Liddiard,Fawks,1961-03-20,Huxley,9,Dioknisi,39600
LUHR722891HZSTJR14,Leigha,Piwall,Gleadhell,1994-10-30,Granby,97,Pak Chom,43302
GOAQ650245MNEDQU32,Tanya,Stobart,Chomley,1987-08-12,Graedel,384,Omis,17342
GULB851784MYNSXE53,Esme,Radage,Quincey,1990-11-10,Dapin,32,Nikaia,32492
WUFL683709MZSKEA52,Agretha,Lindfors,Veall,1972-02-04,Eggendart,8678,Doujia,26433
OAGT152119MZSXGJ32,Sergeant,Runciman,Bouts,1992-03-16,Pankratz,8254,Salamina,36636
ZIXL975594HVZWQM65,Sheelah,Connick,Gouck,1992-11-29,Jana,366,Neo Psychiko,45112
UUPE840085HYNOZR47,Blondie,O Nolan,Ladbrooke,1968-07-15,Bay,60,Sangay,78704
SUJG937244HZSHOQ50,Demeter,Sexten,Epilet,1967-09-23,Banding,7,Al Jizah,27204
SOXV773998HNEVWY39,Marja,Heintze,Gallard,1965-12-23,Buhler,6762,Hongjiang,93872
SILU786919MTSMDN07,Griff,Ben Aharon,Askwith,1988-07-11,Chinook,5467,Panggungrejo,41280
KUAE329445MNELQC26,Dorry,Durbyn,Belsey,1982-05-22,Buhler,6834,Challans,35845
ZOFY900821HNEDTM99,Rabbi,Darthe,Maudlen,1980-06-22,West,3841,Midland,14594
MUZS255958HNEVFK05,Shane,Flade,Oldam,1992-05-26,Marcy,86,Hanusovice,14902
HUPN163721MNEUMK21,Erastus,Renault,Hare,1976-05-11,4th,19,Hammam Sousse,59569
BOAT802187HNEQUY44,Lucia,Arlow,Yearnsley,1967-07-17,Welch,112,Sembe,73488
BOVB224327HNEPCE05,Gabi,Whylie,Bazely,1973-08-21,Manufacturers,1,Jorok Dalam,26834
UIKM304066MNEDOT89,Jan,Jaggli,Perrington,1960-03-10,Dennis,3,Taiping,42950
GOBY477032MNELVM44,Darci,Charlot,Kempshall,1964-03-11,Mockingbird,96,Foumban,29920
MILW563807MNEIWR39,Constancia,Agg,Vedekhin,1990-01-27,Karstens,804,Dinjo,47436
YEAZ611576HZSSZO72,Evin,Hunnicot,McKmurrie,1980-09-03,Johnson,724,Tarub,77696
MOXJ671307HZSVMC08,Linda,Battyll,Harrison,1961-09-03,Maple,6267,Lekas,57652
KUNR805447HZSMQV98,Shamus,Scones,Goley,1986-01-26,Melvin,993,Bitaogan,13616
FOGV360468HNEQCI54,Tallia,Nattriss,Jeffrey,1960-09-30,Scott,1387,Serravalle,47252
JUMG462736HTSKHB38,Giorgio,Walentynowicz,Hugonin,1970-12-29,Lakewood,81,New Pandanon,25130
XUCI785654MZSBPM88,Elvis,O Hearn,Rivaland,1985-02-10,Florence,684,Torrijos,53367
OUXM294584HNEQCG31,Edithe,Ghelardi,De la Barre,1965-10-15,Oriole,329,Kiambu,79462
QUPF671303HNENQL58,Merridie,Yeiles,Meace,1974-09-17,Dennis,2,Basseterre,67595
EUKT657760MNEBWK35,Valeda,Desorts,Beake,1967-05-16,Mockingbird,5,Legionowo,62915
AUFR711622HZSHYP10,Maurene,Bohea,Mears,1969-12-08,Goodland,14,Yonago,19088
OUBH096462HNEOTZ66,Byron,Breinlein,McNirlan,1986-05-06,Westport,2289,Bolekhiv,71036
RUVC120682MYNNRJ09,Lenore,Binton,Bletsoe,1990-04-02,Gulseth,33,Dandian,88026
JIJQ506588HNEKDC30,Susette,Hairon,Astling,1970-12-09,Ridgeway,5,Kokkini Trimithia,68869
UUUM559100HNEQIP12,Dorry,Foux,Croney,1988-01-31,Brickson Park,41,Zielonka,90563
EOOJ513432MVZKMH08,Simonette,Iliff,Tie,1983-12-17,Armistice,71,Gechuan,30575
HUBM601387HNEQSK31,Den,Flowith,Bencher,1987-04-21,Sunfield,46,Riofrio,64138
AOWB231671HNEDPK36,Kasper,Tumility,Luxford,1992-05-21,Dottie,5793,Taluncemara,11287
EOMX717016MNEUFZ46,Rhys,Pardue,Briston,1963-05-13,Moulton,2325,Bantardawa,80748
IUZS389648MNEWKS71,Cointon,Camelli,Gresley,1965-04-01,Messerschmidt,19,Chengnan,21545
FUMQ777730HNETRP20,Whitney,Carvil,Ros,1990-03-30,Shelley,6818,Junin,60808
FUTV034461MNEKEQ63,Grata,Ferrier,Meagh,1964-07-21,Mayer,3,Porsgrunn,61489
XENA585216HNEQRG06,Issy,Gryglewski,Gloucester,1988-09-19,Susan,41,Musa Khel Bazar,22431
CUFY758468HTSEPS03,Paige,Savoury,Uzielli,1987-11-01,Portage,93,Akrata,83434
AUJG556249MNEMXD82,Garfield,Tunnah,Halfhead,1972-03-29,Clyde Gallagher,44,Praia de Mira,20908
TAXH588474MNELTD61,Nollie,Coaster,Sang,1985-04-26,Graceland,8,Vojnic,30001
TIZY634500HYNVHI18,Maisey,Noller,Norssister,1973-11-26,Atwood,552,Pindare Mirim,49028
RORD710658MNEBTM82,Alair,Storry,Hammer,1977-06-28,Katie,758,Tsaghveri,64195
EUNV152433HNEALB17,Eugenio,Dunnion,Dunklee,1963-06-10,Ramsey,4110,Dipayal,50803
MIZQ516357MNEIRE59,Ciro,Aron,Mutimer,1988-03-20,Garrison,79,Amanzi,87617
DOPJ649771MZSFRO20,Llywellyn,Donaghie,Caris,1990-10-09,Vera,72,Pancevo,75422
UIEM344024MNEIYN07,Staford,Beetlestone,Jaffrey,1979-08-22,Springs,803,Formosa,68332
HUUA247353HZSRAD38,Mason,Mars,Newcombe,1970-07-11,Express,4,Elat,89743
CIKD747674HZSMTW22,Lambert,Luckham,Van der Beek,1965-03-16,Maple,35,Kenitra,69351
RURB635794MZSZVH93,Eberto,Arblaster,Inskipp,1968-05-08,Thompson,5,Yuncheng,96147
CIPZ118727MNERGH91,Feliks,Gonthier,Foale,1972-02-17,Barnett,457,Ridder,44933
YUHJ431741MVZJZU07,Andras,Rixon,James,1970-01-21,Farmco,520,Maagnas,87066
NUKY279967MNEGFT22,Marsiella,Sevitt,Seaborne,1974-06-18,Stephen,1315,Banjar Delodrurung,85249
OIKP469817MZSFWA46,Linell,Harnell,Milnes,1967-05-10,Shelley,88,San Pedro,17267
NUWP703679MZSMVC07,Gage,Alldread,Anger,1992-02-15,Spaight,6,Montreal Est,96320
OAMO447045HZSRNW54,Giana,Shearwood,Everex,1960-08-01,Cody,4,Perbaungan,34286
