CURP,RFC,fecha_ingreso,salario
VIAI409840MNEHZX90,RUNE461476TS9,2016-01-06,$8568.81
QUDR389673HZSFKD67,EUEV461889BD5,2017-04-01,$8777.15
GUMC005237HZSBRX94,GAGS843136PY6,2016-12-01,$2323.63
EUPO108752HZSXKL91,EUXV232594RO1,2018-02-15,$4120.48
VIWV661449HTLJPM44,BUZB339509SX6,2017-08-18,$6418.15
HUOH796875HNEXWN74,CUKI194804UW4,2016-05-23,$8409.61
AUAB008887MNEBJD01,JILI292579UY6,2015-03-21,$8371.17
WICP628816MVZHZG36,MUZL436243RV3,2015-06-16,$7461.95
RUKN223385HNELXP36,IEBV647414ZK4,2018-09-06,$6922.24
LIEI613132HZSWSL91,RUAZ253180IL0,2016-10-19,$7395.69
BIFJ136365HVZWRA47,GOPV470874IX9,2017-09-15,$8202.97
GEHW239730HZSRQW47,FOLE160568DI9,2016-03-19,$8615.65
BAMF837454MYNNCX89,IEPQ867794MS6,2015-05-02,$8539.08
AIVC074056HNEZGD83,TELR897908PK4,2016-10-31,$3268.35
OOIH010742MVZFAB54,MUMA041664FN6,2015-07-19,$6369.90
CUHA320494MNELBD55,JUBN919664KF7,2016-11-21,$4707.05
ZUBW208890MNEQSK46,YUYJ226819BX5,2015-07-22,$6312.19
KEAV244975MVZNKP51,JUZQ607662MU8,2017-11-25,$4908.20
WIMW478912HNEAEH46,HOTC824866YG8,2018-09-08,$3664.76
EACA366787MZSYSO06,BAWH739537IO1,2016-08-20,$4587.18
OOJP743398MNEHRF20,TOBM242302DM0,2018-02-07,$6981.73
YOCT873514MZSPGI54,FUUQ846093VN4,2017-01-26,$2778.42
GIJW539731MNEHKB57,NUDN563174BQ3,2017-12-09,$2089.76
GUNV600734MNEVQL89,RUIH670388TD9,2017-11-22,$2451.80
RUCE488332MNERDQ53,RUEY739867PI5,2018-06-05,$5151.51
EUDG233891MYNXZV20,WOED235362IY8,2015-07-25,$3458.23
MIOB604635MNELMP89,KOWB650129VS6,2016-08-07,$7635.83
IIRM940441HNETFE41,KOZC593287KJ4,2016-04-22,$6493.64
EUDU187775HTSHBE60,GODF055695DX9,2015-11-21,$6635.48
MUPT943961MZSXTU09,DUQE768709WH2,2015-08-07,$2075.04
JUUT249270HVZKFX61,AUWF146784MT8,2015-12-18,$5101.21
RUQA879249HNEWGK66,MUEK003925IU8,2015-05-18,$5541.59
JOEH122580MNEPBA13,OUZX974528PA7,2016-02-05,$4816.50
FUXT804499MNEMBR92,XOQD459393HJ0,2016-04-08,$5093.17
DUZV186437MNEGLM55,UOCQ961816CD6,2018-07-02,$7890.45
QONV586423MTLJXB76,AUHS459239NT1,2016-01-18,$4107.83
IINY046087HYNRBP57,YIQS526745VC9,2018-08-12,$8626.17
CEXZ545762HNEWXT96,ZIBI569183ES6,2015-07-22,$8085.14
YEFO597586HNEQRH14,JUVA999121UG7,2016-05-25,$5440.94
AOBR034506HVZDZS40,ZOWK199647DS1,2016-12-16,$3021.15
WUEW662796HZSBFE70,JUUK986976RP1,2017-09-23,$6512.35
GUTX360756MZSVQL65,ROWY582510GJ2,2018-08-26,$3613.80
CUZH600300HVZLQV10,DUNS309744MY2,2015-01-24,$4697.43
JUZF997854MNEBAM93,HEJH712782KD3,2016-11-18,$6543.13
XOUG569694MNEHBT70,BOWQ689000YP1,2018-10-24,$6646.78
DOQF510401MNECDK69,UUUI326180DF8,2018-08-10,$6161.09
ZUIJ912140MNEIZM80,VUHL028998RO5,2016-03-21,$7746.73
VIIH789853HNEYLH54,DUXG314522YH8,2017-02-21,$3325.60
EIQL352656MNEYDR62,PUXL036650OF2,2015-08-23,$5792.21
ZOUT938154HZSMQC90,KICZ585799KM5,2017-02-22,$4060.66
FOMY135627MNEHXZ35,LUFL129220JQ7,2016-10-06,$6491.93
VUMS626279MZSNZS43,IUTY773652SG6,2015-06-07,$7534.02
FOGY890028HZSBRO24,AUVX070400PG8,2016-11-03,$7049.11
EUNP094906HNEOQK29,REWJ526488SB9,2016-09-14,$7648.33
OOFN782984HYNIEV91,SUCL465717HE4,2017-09-16,$7286.81
SUCU418549HZSBFS35,BITR746068AU9,2017-10-15,$7729.50
NOZU243334HNEXHS54,BIHR592094PI5,2016-06-10,$5768.56
JUSN681500HNEFQD35,YUNM543473EO7,2018-06-22,$3751.12
GAQX014821MNETBG68,LOUZ278528FN5,2017-04-11,$5370.72
MOQH720419MNEPVA78,PAVT091003YV1,2017-01-11,$4967.60
GOQE732299HNEBUH94,IIKB100592XG4,2015-04-02,$7064.31
TAOC932499MYNISL70,ZOQM449983DP7,2018-02-13,$4605.74
RUIN154458MZSBCX74,RIHK121705XT6,2014-11-29,$5424.50
MULX479776MZSYUR80,MOCU168474NZ3,2018-07-30,$8997.08
XUPO441744HNEWDB35,WUKX892520JD7,2016-11-24,$7305.20
EUYN961882HVZSVP76,TEOS969482OH0,2018-01-31,$5033.44
LUHR722891HZSTJR14,WUKM141057FN8,2016-06-22,$4640.57
GOAQ650245MNEDQU32,DOHC472307LS9,2015-01-17,$6741.51
GULB851784MYNSXE53,EUMO955873GX1,2016-07-20,$4733.50
WUFL683709MZSKEA52,RIXW045170XN6,2015-09-22,$8790.87
OAGT152119MZSXGJ32,ZUQE815065LZ9,2017-06-02,$2293.45
ZIXL975594HVZWQM65,ZUQE815065LZ9,2015-06-30,$5179.77
UUPE840085HYNOZR47,BOJA673760GS3,2015-06-09,$7391.41
SUJG937244HZSHOQ50,DEWH268806NR5,2016-05-25,$4923.32
SOXV773998HNEVWY39,COSH865735NH0,2017-06-24,$5841.12
SILU786919MTSMDN07,TUND293325ZG0,2016-02-03,$5936.38
KUAE329445MNELQC26,FIAV141431QJ2,2015-09-12,$6831.35
ZOFY900821HNEDTM99,JEMD005126ZI5,2017-08-13,$3244.81
MUZS255958HNEVFK05,CEPQ170988RV7,2016-11-28,$7393.76
HUPN163721MNEUMK21,TUVI745406XS8,2018-05-11,$2709.24
BOAT802187HNEQUY44,WULY471964BP3,2017-05-08,$7467.02
BOVB224327HNEPCE05,GONR568504RG7,2018-01-17,$5455.03
UIKM304066MNEDOT89,TAUL472727HM6,2016-03-05,$4775.76
GOBY477032MNELVM44,LAXF026575FD4,2016-06-23,$3817.65
MILW563807MNEIWR39,XUNV692743EL6,2018-03-05,$5120.66
YEAZ611576HZSSZO72,AIVW495858TP8,2016-01-22,$6209.52
MOXJ671307HZSVMC08,GOAK453379RD7,2018-05-08,$5829.88
KUNR805447HZSMQV98,LUQZ435592KY8,2018-04-07,$3665.68
FOGV360468HNEQCI54,CEQT020635XP9,2015-03-28,$3849.78
JUMG462736HTSKHB38,HOWQ580779GP9,2015-05-28,$6387.76
XUCI785654MZSBPM88,ZUIU100377PD9,2015-08-19,$6560.19
OUXM294584HNEQCG31,FUPW244479UJ5,2018-07-07,$2115.53
QUPF671303HNENQL58,IUGR503105RT9,2016-10-15,$5217.87
EUKT657760MNEBWK35,WUJK340812FB9,2014-11-22,$7474.55
AUFR711622HZSHYP10,UUBE078823ML1,2017-04-17,$7576.06
OUBH096462HNEOTZ66,MUXR042640UI2,2018-02-17,$7908.67
RUVC120682MYNNRJ09,BUMB579386EN1,2015-11-06,$8159.08
JIJQ506588HNEKDC30,HEJY791725PC4,2018-10-09,$7702.02
UUUM559100HNEQIP12,EEUV346394LA8,2017-02-12,$2645.80
EOOJ513432MVZKMH08,MOQO580337VK0,2015-08-27,$3488.66
HUBM601387HNEQSK31,RUNE461476TS9,2018-10-25,$5003.25
AOWB231671HNEDPK36,EUEV461889BD5,2015-09-23,$8698.15
EOMX717016MNEUFZ46,GAGS843136PY6,2018-04-26,$5727.33
IUZS389648MNEWKS71,EUXV232594RO1,2018-01-19,$8835.81
FUMQ777730HNETRP20,BUZB339509SX6,2018-02-21,$8916.64
FUTV034461MNEKEQ63,CUKI194804UW4,2016-07-26,$7151.04
XENA585216HNEQRG06,JILI292579UY6,2018-06-24,$2438.95
CUFY758468HTSEPS03,MUZL436243RV3,2018-11-02,$8368.97
AUJG556249MNEMXD82,IEBV647414ZK4,2017-09-22,$2644.34
TAXH588474MNELTD61,RUAZ253180IL0,2015-09-23,$3272.08
TIZY634500HYNVHI18,GOPV470874IX9,2015-06-01,$3809.40
RORD710658MNEBTM82,FOLE160568DI9,2016-06-07,$8544.98
EUNV152433HNEALB17,IEPQ867794MS6,2017-11-18,$2297.72
MIZQ516357MNEIRE59,TELR897908PK4,2016-08-14,$4798.91
DOPJ649771MZSFRO20,MUMA041664FN6,2018-07-06,$5905.39
UIEM344024MNEIYN07,JUBN919664KF7,2016-05-23,$4707.29
HUUA247353HZSRAD38,YUYJ226819BX5,2018-11-03,$5280.43
CIKD747674HZSMTW22,JUZQ607662MU8,2016-04-05,$2648.38
RURB635794MZSZVH93,HOTC824866YG8,2016-06-26,$7086.93
CIPZ118727MNERGH91,BAWH739537IO1,2016-10-26,$7020.68
YUHJ431741MVZJZU07,TOBM242302DM0,2016-07-12,$4507.75
NUKY279967MNEGFT22,FUUQ846093VN4,2016-12-28,$5989.92
OIKP469817MZSFWA46,NUDN563174BQ3,2015-10-21,$6579.99
NUWP703679MZSMVC07,RUIH670388TD9,2018-08-02,$5540.10
OAMO447045HZSRNW54,RUEY739867PI5,2016-08-24,$6757.16
UORA607449MNEEKG54,MUMA041664FN6,2018-10-05,$5829.88
LANX055956MTSRFG03,JUBN919664KF7,2017-05-12,$3665.68
IIEK157248HNEFWG28,YUYJ226819BX5,2017-11-13,$3849.78
FIZD841918MNEZTM26,JUZQ607662MU8,2015-10-14,$6387.76
KAMJ582926MYNJYD93,HOTC824866YG8,2016-05-16,$6560.19
IUST985301MNEXAK33,BAWH739537IO1,2014-11-19,$2115.53
BUWH488937HNEOAR53,TOBM242302DM0,2015-05-26,$5217.87
QUVA964623MYNYXM52,FUUQ846093VN4,2015-12-30,$7474.55
UOXF832606MZSGFH34,NUDN563174BQ3,2015-04-01,$7576.06
UORA607449MNEEKG54,RUIH670388TD9,2015-12-10,$7908.67
LANX055956MTSRFG03,RUEY739867PI5,2018-05-28,$8159.08
IIEK157248HNEFWG28,EUXV232594RO1,2018-06-26,$7702.02
FIZD841918MNEZTM26,BUZB339509SX6,2017-12-02,$2645.80
KAMJ582926MYNJYD93,CUKI194804UW4,2015-03-17,$3488.66
IUST985301MNEXAK33,JILI292579UY6,2015-06-17,$5003.25
BUWH488937HNEOAR53,MUZL436243RV3,2016-03-12,$8698.15
QUVA964623MYNYXM52,IEBV647414ZK4,2016-01-13,$5727.33
UOXF832606MZSGFH34,RUAZ253180IL0,2016-09-14,$8835.81
